sex,race,age,edu,state,positive
Male,Other,38,HS,MO,1
Male,White,4,Some College,NC,1
Male,White,37,Some College,MI,1
Female,Black,61,Post-Grad,ND,0
Female,Other,28,No HS,DE,1
Male,Black,87,4-Year College,PA,0
Female,Black,65,HS,VI,0
Male,Other,11,4-Year College,IA,0
Female,Other,6,Some College,TX,1
Female,Other,9,HS,LA,0
Male,Black,28,HS,IA,0
Female,Other,55,4-Year College,MI,0
Female,Other,89,Some College,OH,1
Female,White,19,HS,MN,0
Male,Other,78,Some College,GU,0
Male,Other,21,Post-Grad,NC,0
Male,Black,22,No HS,OR,0
Male,Other,12,No HS,NV,0
Male,Other,64,No HS,MO,1
Male,Black,71,Some College,IA,0
Male,Other,98,4-Year College,MS,0
Male,Black,95,No HS,TX,1
Female,White,4,Post-Grad,VI,1
Female,Other,72,4-Year College,OR,0
Male,Other,10,HS,KS,0
Female,Black,2,4-Year College,SC,1
Female,Other,34,Some College,TN,0
Female,Black,69,Some College,RI,1
Female,Other,24,4-Year College,NC,0
Female,Other,87,Post-Grad,FL,1
Male,White,94,4-Year College,CO,1
Male,White,68,No HS,NV,0
Male,White,98,Some College,IN,1
Male,Black,17,Some College,CT,0
Male,Other,65,No HS,MA,0
Male,Other,16,Post-Grad,DE,0
Female,Other,21,Some College,MD,0
Female,Black,1,HS,TN,0
Male,White,95,4-Year College,FL,0
Male,Black,90,No HS,PA,0
Female,Other,87,HS,PA,0
Male,White,31,4-Year College,LA,1
Female,Other,69,Post-Grad,OH,0
Female,White,74,4-Year College,ND,0
Female,Other,43,4-Year College,NJ,0
Female,Other,14,No HS,VA,1
Female,Other,84,Post-Grad,IA,1
Male,White,84,No HS,PR,0
Female,White,71,No HS,GA,1
Female,Other,55,HS,PA,1
Male,White,88,No HS,MN,1
Female,Other,73,No HS,MS,0
Female,Other,89,HS,IL,1
Male,Other,68,Some College,VA,0
Female,Other,13,No HS,MS,1
Male,Black,80,Post-Grad,GU,1
Female,White,89,Some College,MN,1
Female,White,75,No HS,CO,1
Female,Black,77,HS,MI,0
Female,Black,51,HS,OH,1
Female,Black,14,Some College,TN,1
Male,White,89,No HS,RI,1
Female,Other,71,4-Year College,RI,0
Female,Other,98,No HS,LA,1
Male,Other,30,No HS,MS,0
Male,Black,7,Some College,IL,0
Female,Other,58,HS,TX,1
Male,Other,96,HS,MS,0
Male,Other,15,Post-Grad,PA,1
Female,Other,1,No HS,UT,0
Male,White,21,Some College,SC,0
Female,White,100,Post-Grad,KY,0
Female,White,67,HS,TN,0
Male,Black,100,No HS,SC,0
Male,Black,90,HS,ID,0
Female,Other,77,4-Year College,KS,1
Male,White,70,No HS,NH,0
Male,Other,38,4-Year College,NJ,0
Male,Black,14,Post-Grad,SC,0
Male,Other,68,No HS,CO,0
Female,Other,92,Some College,NC,0
Female,White,31,HS,SC,1
Male,White,97,No HS,KS,1
Male,Other,33,Some College,PR,0
Female,Other,68,4-Year College,ME,0
Female,Black,29,Some College,CT,1
Female,Black,68,HS,MI,0
Male,Black,35,Some College,CT,1
Female,Other,29,Post-Grad,PA,1
Female,White,94,No HS,IA,1
Female,Black,23,HS,FL,1
Female,Black,12,No HS,ID,0
Male,Black,31,4-Year College,DE,0
Male,Black,47,Some College,IL,1
Male,White,74,4-Year College,CO,1
Female,Other,34,4-Year College,MO,1
Female,Other,32,No HS,IL,1
Male,Other,83,Post-Grad,NY,1
Male,Black,29,Post-Grad,ID,1
Male,Black,39,4-Year College,SC,0
Female,White,80,Some College,DE,0
Male,Other,55,Post-Grad,ID,1
Male,White,66,Some College,MS,0
Male,White,68,4-Year College,ME,0
Female,White,36,HS,OR,0
Female,Other,80,HS,NE,1
Male,Black,55,Some College,ID,0
Male,White,67,Some College,ND,0
Male,White,65,HS,ND,0
Male,White,62,HS,NJ,0
Male,Other,11,Post-Grad,SD,0
Female,Black,59,HS,NJ,0
Male,Black,1,4-Year College,MI,0
Male,Other,59,No HS,VI,1
Male,White,61,Some College,VI,1
Male,Other,26,HS,VA,0
Female,Other,3,HS,NE,0
Male,Black,1,Some College,CT,1
Male,White,27,HS,MO,0
Male,White,19,HS,CA,0
Male,White,99,4-Year College,SC,1
Female,White,99,No HS,DC,1
Male,Black,9,4-Year College,SD,0
Female,Black,81,Post-Grad,NJ,1
Male,Black,13,Some College,VI,1
Male,Other,14,4-Year College,ME,1
Male,White,89,4-Year College,NH,0
Female,Black,89,Post-Grad,KS,1
Female,White,22,Some College,HI,0
Female,White,19,4-Year College,TX,1
Male,Other,33,4-Year College,HI,0
Female,Other,1,HS,TX,0
Female,Other,75,No HS,IA,1
Female,Black,85,Post-Grad,TX,0
Male,White,6,Post-Grad,NC,1
Male,Black,48,Post-Grad,GA,1
Male,White,59,No HS,DC,0
Female,Other,84,Post-Grad,ME,1
Male,White,64,Post-Grad,MO,1
Female,White,13,HS,SC,1
Female,White,75,HS,MA,1
Female,Other,94,Some College,IA,1
Female,Other,24,No HS,TX,1
Female,Black,67,Post-Grad,MS,0
Female,White,14,Post-Grad,MI,0
Female,White,38,Some College,IL,1
Female,White,86,4-Year College,IL,0
Male,Other,65,Some College,ND,0
Female,White,98,Post-Grad,CT,0
Male,Black,84,Post-Grad,ND,0
Male,White,68,4-Year College,ND,0
Female,White,69,HS,IA,0
Male,Black,4,Some College,NJ,1
Female,Other,27,Some College,OK,1
Female,Black,49,No HS,IN,1
Male,White,76,Post-Grad,IN,1
Female,Other,8,Some College,DC,0
Male,White,61,No HS,RI,1
Female,Other,75,HS,KY,0
Male,White,21,No HS,RI,1
Male,White,26,Post-Grad,NH,1
Male,White,59,Some College,IA,1
Male,Other,33,Some College,FL,0
Male,Other,67,4-Year College,PA,0
Female,Black,16,Some College,GA,1
Male,Other,70,HS,ND,0
Male,Black,65,Post-Grad,IN,1
Male,White,9,HS,CT,0
Male,White,33,4-Year College,GA,0
Female,Black,97,Some College,TN,0
Male,Black,17,Some College,TX,1
Male,Black,29,Post-Grad,MI,0
Female,White,65,Post-Grad,MA,0
Female,Other,82,Some College,SC,1
Male,Other,99,4-Year College,PA,1
Male,Other,68,Some College,IN,0
Female,White,2,Post-Grad,KY,1
Female,Black,28,No HS,MO,1
Female,Other,95,Some College,NM,1
Male,Black,15,Post-Grad,ME,1
Male,Black,27,Some College,KY,1
Male,Other,73,Some College,OH,1
Female,Black,59,No HS,ME,0
Female,Black,29,4-Year College,ME,0
Female,Black,58,No HS,HI,0
Male,Other,82,No HS,MN,0
Male,Other,82,4-Year College,DE,0
Female,White,66,Some College,CO,0
Male,White,31,Some College,MI,0
Male,Black,38,Some College,VI,1
Male,Black,20,4-Year College,GA,1
Female,Black,66,4-Year College,UT,0
Male,Other,18,No HS,FL,0
Male,Black,70,No HS,KY,0
Male,Black,31,4-Year College,LA,1
Male,White,14,No HS,FL,1
Female,Black,79,Some College,CO,1
Female,Black,83,No HS,SC,1
Female,White,14,HS,OR,1
Male,Other,26,No HS,KY,0
Male,Black,24,Some College,NM,1
Male,White,45,Post-Grad,MA,1
Female,White,24,Post-Grad,GA,1
Female,Black,32,No HS,PA,0
Male,Other,34,Some College,KS,0
Male,Other,20,4-Year College,MS,0
Female,Black,32,Some College,GA,1
Female,Black,8,No HS,SC,1
Female,White,16,4-Year College,GA,1
Male,Other,22,Post-Grad,MA,0
Female,Black,17,Some College,UT,1
Male,Other,30,HS,ID,0
Male,Black,63,4-Year College,CO,0
Male,Other,24,Some College,CO,1
Female,Other,37,4-Year College,GU,0
Female,Black,9,No HS,FL,1
Male,White,98,No HS,CA,1
Male,Black,52,No HS,FL,1
Male,White,65,4-Year College,NJ,0
Female,White,33,HS,NY,1
Female,Other,21,Post-Grad,TX,1
Female,Black,8,No HS,KS,1
Male,Black,62,HS,MS,0
Male,White,91,HS,FL,1
Male,White,29,Some College,CO,1
Male,Black,20,Some College,GU,0
Male,Black,36,No HS,NH,0
Male,Black,91,Some College,CO,1
Female,Other,46,Some College,NM,0
Male,Other,50,Some College,CA,0
Female,Black,70,No HS,RI,1
Female,Other,37,4-Year College,OK,0
Male,Other,27,Some College,OR,0
Female,White,16,4-Year College,IL,0
Male,Other,70,4-Year College,CT,1
Male,White,91,Post-Grad,KS,1
Female,Other,52,4-Year College,OK,0
Female,Black,79,Post-Grad,KS,1
Female,White,56,No HS,RI,1
Male,White,74,HS,NE,0
Male,Black,25,Post-Grad,CT,1
Female,White,52,No HS,SC,1
Female,Black,8,Post-Grad,CT,1
Female,Black,1,No HS,SC,1
Male,Black,45,Some College,MD,1
Male,Other,27,4-Year College,IN,0
Male,Other,17,HS,KY,1
Female,White,43,Post-Grad,GU,1
Female,Other,4,No HS,UT,1
Male,Black,68,Some College,GA,1
Female,White,70,No HS,SC,0
Female,Black,14,No HS,MS,1
Female,Other,42,4-Year College,HI,0
Female,White,14,No HS,IN,0
Female,Other,41,Some College,FL,0
Female,Black,98,Post-Grad,SC,0
Female,White,68,No HS,NH,0
Female,Other,47,HS,MI,0
Male,Other,22,Some College,PR,0
Female,Black,82,HS,NY,0
Male,White,28,No HS,FL,0
Male,White,89,4-Year College,RI,1
Female,Black,13,Some College,DC,1
Male,White,27,HS,GU,1
Female,Black,0,HS,IL,1
Male,Black,95,Some College,NH,1
Female,Other,100,4-Year College,CA,0
Female,White,25,4-Year College,IA,0
Female,Other,82,No HS,DE,0
Female,Other,82,4-Year College,ID,0
Female,White,14,Some College,IN,1
Female,Other,0,Post-Grad,OH,1
Male,White,23,Post-Grad,HI,1
Male,Other,3,4-Year College,CA,1
Male,Other,82,Some College,CO,1
Male,White,1,No HS,CA,1
Male,Other,67,Post-Grad,MA,0
Male,Other,10,Post-Grad,VI,1
Male,White,72,Some College,CO,0
Male,Other,61,Some College,NV,1
Male,Other,8,No HS,GA,0
Male,Black,58,No HS,CA,1
Male,Black,60,Post-Grad,TN,1
Female,White,95,Some College,IN,1
Female,White,67,No HS,MO,0
Female,Black,56,4-Year College,UT,0
Male,Black,81,No HS,IN,0
Male,White,44,Post-Grad,MO,1
Female,Other,72,Post-Grad,OH,1
Female,Other,24,Some College,MN,1
Female,Other,93,No HS,DC,1
Female,Black,37,4-Year College,DC,0
Female,White,77,4-Year College,NM,1
Female,Other,31,Some College,HI,1
Female,Other,29,No HS,DC,1
Male,Other,38,4-Year College,SD,0
Female,White,23,No HS,GA,1
Male,Black,84,Post-Grad,HI,1
Male,Other,43,No HS,OR,0
Female,White,67,No HS,MD,0
Male,White,11,HS,CT,1
Female,Other,29,Post-Grad,MI,0
Female,White,11,Post-Grad,NJ,1
Female,Black,18,HS,CO,1
Female,Other,95,Some College,OR,1
Male,Black,26,Post-Grad,KY,0
Male,Other,32,4-Year College,MS,1
Male,Black,92,Post-Grad,MO,0
Female,Black,82,Post-Grad,FL,1
Male,Other,73,No HS,OR,0
Female,Other,69,Some College,HI,1
Female,White,6,4-Year College,NJ,0
Female,Other,65,No HS,MT,1
Male,Black,73,No HS,MI,0
Female,Black,64,No HS,OH,0
Female,Other,0,Post-Grad,MT,0
Male,Black,32,Some College,OK,1
Male,Other,12,Post-Grad,NV,1
Female,White,6,Some College,CT,0
Male,Other,44,4-Year College,FL,0
Male,White,84,4-Year College,IL,0
Male,Other,16,Some College,MA,0
Male,Black,8,No HS,CT,0
Male,Black,18,Post-Grad,MT,0
Male,Other,71,HS,GA,1
Male,Black,94,No HS,GA,0
Female,Black,17,4-Year College,NC,0
Female,Black,72,HS,MI,0
Female,Other,67,Some College,MO,0
Male,Black,56,Some College,OR,0
Male,Black,91,HS,PR,1
Female,White,27,No HS,IN,1
Male,Black,20,HS,OR,1
Female,White,52,No HS,MA,0
Female,White,29,Post-Grad,MI,0
Female,White,89,4-Year College,VA,0
Female,Other,8,No HS,DE,0
Male,White,40,HS,MT,1
Male,White,98,Some College,RI,1
Male,White,66,No HS,OH,1
Male,Black,7,Some College,MT,0
Male,Black,9,HS,MO,0
Female,White,61,Some College,RI,0
Female,Black,70,No HS,OK,1
Male,White,44,HS,OR,0
Male,White,24,Some College,GU,0
Male,Black,35,No HS,VA,0
Male,Black,68,Post-Grad,NH,1
Male,White,67,HS,SD,0
Female,Other,66,HS,CA,0
Female,Black,13,Some College,RI,1
Male,White,23,Post-Grad,NY,1
Male,Other,17,Post-Grad,DC,1
Female,White,71,4-Year College,UT,0
Female,Black,68,HS,MN,1
Female,Black,36,4-Year College,LA,1
Female,Other,70,HS,GA,1
Female,Black,85,Post-Grad,NH,0
Male,Other,27,4-Year College,OK,0
Female,Black,31,4-Year College,OH,1
Female,White,78,4-Year College,MI,0
Female,White,19,No HS,IA,1
Female,White,65,4-Year College,ND,0
Male,White,70,Some College,CO,0
Male,White,32,4-Year College,IA,0
Female,Other,63,Post-Grad,DC,0
Male,Black,70,Post-Grad,RI,1
Male,White,54,Some College,NE,0
Male,White,65,HS,NC,0
Male,Other,56,No HS,KY,0
Female,Other,73,Some College,SC,0
Female,Black,60,Post-Grad,SC,0
Female,Black,0,4-Year College,KY,1
Male,Black,4,No HS,VI,1
Male,White,93,4-Year College,SC,0
Female,Other,20,HS,IL,1
Male,Black,19,4-Year College,LA,0
Female,Black,7,HS,LA,0
Male,Black,64,Post-Grad,LA,1
Female,Other,71,HS,NH,0
Female,White,17,Post-Grad,VA,0
Female,Black,24,Post-Grad,MD,0
Female,White,4,No HS,TX,0
Male,Black,15,Some College,MT,0
Female,Other,44,4-Year College,GA,0
Male,White,13,HS,DE,1
Female,Other,51,HS,UT,1
Female,Black,11,Post-Grad,VA,1
Male,Other,95,Post-Grad,OH,1
Male,Other,34,HS,MA,0
Female,Black,67,Some College,MN,1
Male,White,12,Some College,DE,1
Female,Other,89,HS,IA,0
Female,White,89,No HS,MT,0
Female,Other,26,No HS,NY,1
Male,White,61,4-Year College,ME,0
Female,White,12,Post-Grad,HI,1
Male,Other,67,4-Year College,OR,0
Male,Other,61,HS,GU,1
Male,Black,79,Post-Grad,PR,0
Male,Black,12,HS,GU,1
Female,Black,73,HS,LA,0
Female,White,10,4-Year College,KS,1
Male,Other,5,HS,CT,1
Female,White,47,4-Year College,TX,0
Female,Other,24,Post-Grad,NV,1
Female,Black,27,HS,SD,0
Female,White,6,Post-Grad,UT,0
Male,Black,47,Post-Grad,HI,1
Female,Black,49,Some College,ND,0
Male,Other,48,Post-Grad,OR,1
Male,Black,28,4-Year College,IL,0
Female,Other,71,Post-Grad,IA,1
Male,Black,12,Some College,SC,1
Female,Black,54,HS,NJ,0
Male,White,38,Post-Grad,MI,0
Male,Black,73,No HS,MA,1
Male,White,13,Some College,SD,0
Female,Other,62,4-Year College,GU,0
Female,Black,65,4-Year College,IL,1
Male,Other,20,HS,KS,1
Female,Black,14,No HS,CT,1
Female,Other,19,No HS,IL,1
Male,White,86,HS,MN,0
Male,Other,33,HS,OK,0
Male,Black,16,Some College,ME,1
Male,Black,55,4-Year College,KY,1
Male,Other,27,No HS,NE,0
Female,White,8,Post-Grad,CO,1
Female,Other,25,Post-Grad,SD,1
Female,Other,98,Post-Grad,NJ,1
Male,Black,83,Some College,MI,0
Female,Other,70,HS,CA,1
Female,White,11,4-Year College,NE,1
Male,Black,76,HS,HI,0
Male,Black,72,Some College,IN,0
Female,Black,66,Post-Grad,FL,0
Female,Black,15,Some College,NC,0
Female,Other,47,No HS,ND,0
Female,Other,67,No HS,PR,1
Male,Other,53,No HS,CT,0
Male,Black,98,Post-Grad,MS,0
Male,Black,54,Post-Grad,GA,0
Male,Black,49,HS,NM,1
Male,Black,15,Post-Grad,IL,0
Male,White,34,4-Year College,IL,1
Male,White,11,HS,UT,0
Male,Other,89,Some College,GU,1
Female,White,27,4-Year College,MT,1
Male,Black,96,Some College,DC,1
Female,Other,80,Some College,GA,1
Female,Other,70,Post-Grad,ND,0
Male,White,21,Some College,VI,0
Female,Black,80,4-Year College,ND,0
Male,White,69,Some College,DC,1
Male,Black,20,HS,OH,0
Female,Black,46,Some College,CO,1
Female,Other,66,No HS,GU,1
Female,Other,99,4-Year College,TX,1
Female,Other,11,4-Year College,MT,0
Female,Black,96,Post-Grad,MI,0
Male,White,18,Post-Grad,GA,1
Female,White,95,Some College,VI,1
Male,Other,28,4-Year College,VA,0
Female,Black,53,4-Year College,DE,1
Male,Black,27,HS,PA,0
Female,Other,93,HS,HI,0
Male,White,0,HS,NY,1
Male,Black,9,Some College,PR,1
Female,Other,17,Post-Grad,GA,0
Female,White,73,Post-Grad,ME,0
Male,White,28,HS,RI,1
Male,Black,27,Post-Grad,ID,0
Male,Black,21,HS,PR,0
Female,Black,6,Some College,MA,1
Female,Other,10,Some College,GU,0
Female,Other,4,4-Year College,GU,0
Female,Other,65,4-Year College,LA,0
Female,Other,64,No HS,UT,0
Male,Other,99,Some College,MI,1
Male,White,23,Some College,ID,0
Female,Black,36,Some College,OR,1
Female,White,14,Post-Grad,KY,1
Female,White,68,Post-Grad,IL,0
Male,Black,51,Some College,MN,0
Female,Other,67,Post-Grad,MT,1
Female,Other,0,Some College,VI,1
Female,Other,8,HS,IA,1
Female,Black,46,Post-Grad,ND,1
Male,Black,73,4-Year College,RI,0
Female,Black,38,No HS,VA,0
Male,Other,18,HS,MO,0
Female,Black,29,4-Year College,NJ,0
Male,Black,16,No HS,GU,1
Female,White,14,Post-Grad,MI,1
Male,Other,74,Some College,ME,0
Male,White,73,No HS,PR,0
Female,Black,21,Post-Grad,CO,1
Male,Black,22,4-Year College,CT,0
Male,Black,74,Post-Grad,NJ,0
Male,White,40,Some College,IL,1
Male,Black,65,Post-Grad,VA,0
Male,White,13,No HS,NH,0
Female,Black,60,HS,GU,1
Female,Other,45,Some College,SC,1
Female,White,2,Some College,NJ,1
Female,Black,53,4-Year College,NV,0
Female,Black,52,4-Year College,TX,0
Female,Other,71,Post-Grad,OR,0
Female,Black,30,4-Year College,KS,1
Male,Other,41,HS,SD,0
Female,Other,80,Post-Grad,ID,0
Female,Other,2,Some College,DE,1
Male,Other,19,HS,KS,0
Female,Other,19,HS,SD,1
Female,Black,90,HS,GA,1
Female,Black,96,4-Year College,MT,1
Female,Other,48,Some College,MA,0
Male,White,65,Post-Grad,GA,0
Female,Other,69,Some College,KS,0
Male,Other,26,Post-Grad,CT,0
Female,White,66,4-Year College,MS,0
Male,Black,69,Some College,ID,0
Male,White,34,Some College,TX,1
Female,Black,24,Post-Grad,NV,1
Female,White,18,No HS,ME,0
Female,Other,32,No HS,NH,1
Female,White,22,No HS,PR,1
Male,White,21,No HS,IL,0
Female,Black,69,4-Year College,OK,1
Female,Other,52,HS,LA,1
Male,Black,35,Post-Grad,MA,1
Female,Other,24,No HS,MO,1
Female,Other,31,HS,NV,0
Male,Black,40,No HS,IA,0
Female,White,25,4-Year College,MS,0
Female,White,72,Some College,DE,0
Male,Black,72,4-Year College,OK,0
Male,Other,9,No HS,NC,1
Male,Other,28,4-Year College,OK,1
Male,White,15,4-Year College,DE,1
Female,Other,62,4-Year College,ND,1
Female,Black,64,No HS,OH,1
Male,White,50,HS,MI,1
Female,White,71,HS,PR,0
Male,Other,37,Post-Grad,ID,0
Female,Black,11,Some College,ID,0
Male,Black,9,No HS,NC,1
Male,Other,80,Some College,KS,0
Male,Other,32,Post-Grad,TX,1
Female,White,11,Post-Grad,MD,0
Female,White,14,Some College,MS,1
Male,Black,16,Some College,TN,1
Female,White,28,HS,NJ,0
Male,Other,70,Some College,IL,1
Female,Black,92,Some College,OR,1
Male,Black,38,Some College,HI,0
Female,Other,68,Post-Grad,MS,0
Female,White,75,No HS,PR,0
Male,White,66,4-Year College,NJ,0
Female,White,69,No HS,MN,1
Female,Other,56,HS,NE,0
Female,Other,92,4-Year College,MN,0
Male,White,17,HS,VI,0
Female,White,21,4-Year College,MT,0
Female,White,46,HS,OK,1
Male,Other,18,No HS,VI,1
Male,Other,74,No HS,ND,0
Female,Other,31,4-Year College,NJ,0
Female,Black,96,Some College,TX,1
Male,Other,86,4-Year College,VA,0
Male,Other,57,4-Year College,CO,0
Male,White,71,4-Year College,DE,0
Male,Other,40,Some College,UT,1
Female,Black,58,No HS,MN,0
Female,Other,49,4-Year College,CA,0
Female,Black,31,Post-Grad,MD,1
Male,Black,7,Post-Grad,MT,0
Male,White,21,Some College,CT,0
Male,Other,66,HS,GA,0
Female,Other,6,Some College,IN,0
Male,Black,30,No HS,NC,1
Male,Other,54,No HS,NH,1
Female,Other,6,4-Year College,TX,0
Female,Other,12,Post-Grad,NH,1
Female,White,12,Post-Grad,CT,1
Female,White,64,4-Year College,IL,0
Male,Black,96,4-Year College,NV,0
Male,Black,12,No HS,VA,1
Male,White,26,Post-Grad,GA,1
Female,Black,51,4-Year College,MO,0
Female,Other,13,HS,IN,0
Male,Black,68,Post-Grad,VA,1
Female,Other,69,HS,MD,1
Female,Black,60,HS,KS,1
Male,Other,28,4-Year College,CA,1
Female,White,8,No HS,RI,1
Male,Black,30,HS,ME,1
Male,Black,34,No HS,MD,0
Female,Other,50,HS,MO,1
Female,Other,46,No HS,LA,0
Male,Other,6,HS,NJ,0
Female,Black,33,No HS,IL,1
Female,White,39,Post-Grad,ME,0
Female,Black,65,Some College,FL,0
Female,Other,64,Some College,KS,1
Male,White,63,No HS,KY,0
Male,Other,27,HS,ID,0
Female,Black,19,No HS,ND,1
Male,Black,1,No HS,MN,1
Male,Other,3,4-Year College,CA,0
Female,Other,27,No HS,DC,1
Female,White,81,No HS,VI,0
Female,Other,13,No HS,MA,1
Female,Other,97,HS,NE,0
Male,Other,22,HS,NH,1
Female,Other,24,Some College,TX,0
Female,White,73,No HS,KS,0
Male,Black,6,4-Year College,ID,0
Male,Black,18,4-Year College,PR,0
Male,Other,91,Some College,MS,1
Male,Black,16,Some College,PR,0
Male,Other,14,4-Year College,SC,1
Female,Black,73,Post-Grad,RI,1
Male,Black,45,4-Year College,NJ,0
Male,Black,24,4-Year College,MA,0
Male,White,21,HS,VI,0
Female,White,15,Some College,IA,0
Male,Black,98,HS,NE,0
Female,Black,11,No HS,HI,1
Female,Black,31,Post-Grad,MA,1
Female,Other,30,Post-Grad,GU,1
Male,White,24,4-Year College,LA,0
Female,Black,87,Some College,ND,1
Male,Other,26,No HS,IA,1
Female,White,68,Some College,MT,0
Male,White,71,Post-Grad,VA,1
Female,Black,66,HS,NE,0
Male,Other,60,Post-Grad,LA,0
Male,White,81,Post-Grad,OR,1
Male,Other,32,Post-Grad,IA,1
Female,Other,99,Post-Grad,OK,1
Female,Other,56,No HS,LA,1
Female,White,40,Post-Grad,KS,1
Male,Other,57,HS,CO,1
Female,Other,38,HS,MI,0
Female,Black,85,Post-Grad,NE,1
Male,White,19,HS,IL,0
Male,White,72,No HS,LA,0
Male,White,79,HS,KS,1
Male,White,28,HS,DC,0
Male,Other,72,HS,VA,0
Male,Other,81,Some College,MD,0
Male,Other,4,4-Year College,NH,1
Female,Black,92,4-Year College,NE,1
Female,Black,16,Some College,CA,0
Male,White,64,Some College,ND,0
Male,Other,77,Post-Grad,NC,0
Male,Other,59,4-Year College,OK,0
Female,Other,73,Post-Grad,KY,0
Female,Black,81,Some College,ND,0
Female,White,27,4-Year College,UT,0
Male,White,0,Post-Grad,KS,1
Female,Other,93,Post-Grad,NJ,0
Female,Black,85,HS,FL,1
Male,White,27,Some College,OR,0
Female,White,31,No HS,DE,0
Female,White,97,HS,MS,0
Male,White,52,Post-Grad,DE,1
Female,White,92,Some College,SC,1
Female,Other,14,No HS,LA,0
Male,White,74,Some College,ND,0
Male,Black,97,4-Year College,FL,1
Female,White,24,HS,UT,1
Female,Black,70,HS,NE,1
Female,Black,22,4-Year College,CT,0
Female,Other,65,No HS,TN,0
Male,Other,24,No HS,VI,1
Female,Black,43,No HS,SD,0
Male,Other,79,No HS,ND,1
Female,White,96,Some College,CT,1
Female,White,69,HS,GA,0
Female,White,7,4-Year College,NC,0
Female,White,40,Post-Grad,MT,1
Female,Other,92,Some College,HI,0
Female,White,0,No HS,NC,0
Male,Black,32,No HS,GU,1
Male,White,76,Post-Grad,SC,0
Female,White,32,Some College,ND,0
Male,White,45,Some College,HI,0
Male,Black,61,Post-Grad,NY,1
Female,Other,57,Post-Grad,IA,1
Male,White,70,HS,GA,0
Female,Black,30,4-Year College,SC,0
Male,Black,59,No HS,UT,0
Female,Black,39,4-Year College,GU,1
Male,Other,54,No HS,VI,1
Male,White,19,Post-Grad,OK,1
Female,White,5,Post-Grad,NJ,0
Male,Other,74,HS,NV,0
Female,Other,59,Post-Grad,RI,1
Female,White,70,No HS,RI,0
Female,White,11,No HS,KY,0
Female,White,27,Post-Grad,LA,1
Male,White,91,No HS,MI,1
Male,Black,65,Post-Grad,SC,1
Male,Other,69,HS,SD,0
Male,Black,79,4-Year College,ID,1
Female,Other,92,No HS,OH,1
Female,Black,9,Some College,MS,0
Male,Other,53,Some College,MS,1
Male,Black,42,Post-Grad,NC,1
Female,Other,32,HS,NM,0
Female,Other,49,Post-Grad,RI,1
Female,Black,76,No HS,ME,0
Male,Other,19,Post-Grad,MO,0
Female,Black,69,Some College,PA,0
Male,Black,20,HS,RI,1
Male,Other,97,HS,RI,0
Female,Black,12,Some College,MO,1
Male,White,68,Post-Grad,IN,0
Male,Other,8,4-Year College,VA,1
Female,White,32,HS,NC,1
Female,Other,40,4-Year College,NH,0
Male,Other,44,4-Year College,OH,0
Female,Black,24,Post-Grad,NE,1
Female,Other,8,No HS,MD,0
Female,White,25,Some College,MO,1
Male,White,95,Post-Grad,KS,1
Male,Other,63,HS,MA,0
Female,Other,26,HS,SC,0
Male,Other,65,4-Year College,NJ,0
Female,Black,89,Post-Grad,OK,1
Male,Black,18,4-Year College,FL,1
Male,White,19,Some College,MO,0
Female,White,66,4-Year College,NY,0
Female,Other,69,HS,ND,0
Female,Black,48,Some College,PR,0
Male,White,13,Some College,NE,1
Female,Other,1,4-Year College,KY,0
Male,White,57,No HS,GU,1
Female,Other,67,Some College,MA,0
Male,Other,71,Some College,VI,0
Female,Black,70,Post-Grad,FL,0
Female,Other,21,HS,ME,1
Male,Other,95,4-Year College,CA,0
Male,White,65,Post-Grad,DC,1
Female,Black,60,Some College,RI,1
Female,White,57,4-Year College,SC,0
Female,Black,73,Post-Grad,TX,0
Female,Other,31,HS,ME,0
Female,White,68,Some College,VA,0
Female,White,42,No HS,VA,1
Male,Black,27,No HS,VA,1
Female,White,72,Post-Grad,TN,0
Male,Black,40,HS,MI,1
Female,Black,29,Some College,MS,1
Male,Black,65,Some College,FL,0
Male,Other,19,Some College,NV,0
Female,White,82,Post-Grad,MD,0
Male,Black,19,Post-Grad,KY,0
Female,Black,27,4-Year College,MI,0
Male,Other,19,4-Year College,OR,0
Male,Other,58,4-Year College,MS,0
Male,Other,74,HS,IL,0
Male,Black,63,Some College,OK,0
Female,Other,20,HS,PA,1
Male,White,67,No HS,SC,0
Male,Other,100,Some College,OK,0
Male,Black,24,No HS,PR,0
Male,White,27,HS,OR,0
Male,Black,15,Post-Grad,CT,1
Male,Other,15,Post-Grad,KY,0
Male,Black,81,No HS,GU,0
Female,White,77,Post-Grad,OK,1
Female,White,35,Post-Grad,ID,1
Male,Black,20,Some College,ME,1
Female,Black,36,HS,SC,0
Male,Black,66,Some College,FL,1
Female,White,68,Post-Grad,LA,1
Male,Black,32,Post-Grad,ME,1
Male,White,73,No HS,OH,1
Female,Other,30,Post-Grad,CT,1
Male,White,58,4-Year College,MD,1
Male,Black,4,Post-Grad,OH,0
Male,Other,85,HS,ME,0
Female,White,21,No HS,TX,0
Male,White,81,Post-Grad,VA,1
Male,Black,100,Post-Grad,PR,1
Female,Black,44,Post-Grad,MN,1
Female,Other,10,No HS,ND,0
Male,Black,6,No HS,MI,1
Female,Black,76,4-Year College,MD,0
Male,White,99,Post-Grad,SD,1
Female,White,27,Post-Grad,NY,1
Female,Other,78,No HS,MA,1
